problem;trial;r2_train;r2_test;seed;best_model
Nguyen-12;1;1.0;1.0;29802;x**4 - x**3 + y**2/2 - y
Nguyen-12;2;0.9998744059010322;-18.379614227390963;22118;x**3*(x - 1) - y + cos(1/y) - cos(y) + cos(2*y) + 1
Nguyen-12;3;0.9999350017404024;0.9905795603013301;860;x**3*(x - 1) + y*(y*cos(1) - 1)
Nguyen-12;4;1.0;1.0;15795;x**4 - x**3 + y**2/2 - y
Nguyen-12;5;1.0;1.0;21575;x**4 - x**3 + y**2/2 - y
Nguyen-12;6;1.0;1.0;5390;x**4 - x**3 + y**2/2 - y
Nguyen-12;7;1.0;1.0;11964;x**4 - x**3 + y**2/2 - y
Nguyen-12;8;1.0;1.0;6265;x**4 - x**3 + y**2/2 - y
Nguyen-12;9;1.0;1.0;23654;x**4 - x**3 + y**2/2 - y
Nguyen-12;10;0.9998569004378733;0.7219862861592441;11284;x**4 - x**3 - y - cos(y) + 1/2 + exp(-cos(y))
